id,Year_of_Release,Platform,Total_Sales
775,2014,WiiU,22.03
776,2015,WiiU,16.35
777,2016,WiiU,4.6
778,1980,X360,0
779,1981,X360,0
780,1982,X360,0
781,1983,X360,0
782,1984,X360,0
783,1985,X360,0
784,1986,X360,0
785,1987,X360,0
786,1988,X360,0
787,1989,X360,0
788,1990,X360,0
789,1991,X360,0
790,1992,X360,0
791,1993,X360,0
792,1994,X360,0
793,1995,X360,0
794,1996,X360,0
795,1997,X360,0
796,1998,X360,0
797,1999,X360,0
798,2000,X360,0
799,2001,X360,0
800,2002,X360,0
801,2003,X360,0
802,2004,X360,0
803,2005,X360,8.25
804,2006,X360,51.62
805,2007,X360,95.41
806,2008,X360,135.26
807,2009,X360,120.29
808,2010,X360,170.03
809,2011,X360,143.84
810,2012,X360,99.74
811,2013,X360,88.58
812,2014,X360,34.74
813,2015,X360,11.96
814,2016,X360,1.52
815,1980,XB,0
816,1981,XB,0
817,1982,XB,0
818,1983,XB,0
819,1984,XB,0
820,1985,XB,0
821,1986,XB,0
822,1987,XB,0
823,1988,XB,0
824,1989,XB,0
825,1990,XB,0
826,1991,XB,0
827,1992,XB,0
828,1993,XB,0
829,1994,XB,0
830,1995,XB,0
831,1996,XB,0
832,1997,XB,0
833,1998,XB,0
834,1999,XB,0
835,2000,XB,0.99
836,2001,XB,22.26
837,2002,XB,48.01
838,2003,XB,55.04
839,2004,XB,65.42
840,2005,XB,49.08
841,2006,XB,10.04
842,2007,XB,0.55
843,2008,XB,0.18
844,2009,XB,0
845,2010,XB,0
846,2011,XB,0
847,2012,XB,0
848,2013,XB,0
849,2014,XB,0
850,2015,XB,0
851,2016,XB,0
852,1980,XOne,0
853,1981,XOne,0
854,1982,XOne,0
855,1983,XOne,0
856,1984,XOne,0
857,1985,XOne,0
858,1986,XOne,0
859,1987,XOne,0
860,1988,XOne,0
861,1989,XOne,0
862,1990,XOne,0
863,1991,XOne,0
864,1992,XOne,0
865,1993,XOne,0
866,1994,XOne,0
867,1995,XOne,0
868,1996,XOne,0
869,1997,XOne,0
870,1998,XOne,0
871,1999,XOne,0
872,2000,XOne,0
873,2001,XOne,0
874,2002,XOne,0
875,2003,XOne,0
876,2004,XOne,0
877,2005,XOne,0
878,2006,XOne,0
879,2007,XOne,0
880,2008,XOne,0
881,2009,XOne,0
882,2010,XOne,0
883,2011,XOne,0
884,2012,XOne,0
885,2013,XOne,18.96
886,2014,XOne,54.07
887,2015,XOne,60.14
888,2016,XOne,26.15
